Atlanta,447841,1
Bangkok,8500000,0
Beijing,19612368,1
Berlin,3426354,1
Bogota,7674366,1
Budapest,1732000,1
Buenos Aires,2890151,-1
Cairo,7772000,1
Cape Town,3750000,-1
Caracas,2104000,0
Casablanca,3360000,1
Chicago,2707120,1
Delhi,17800000,0
Havana,2105000,0
Hong Kong,7188000,0
Honolulu,402500,0
Houston,2196000,1
Jakarta,9608000,0
Johannesburg,4435000,-1
Karachi,24300000,0
Kinshasa,10125000,0
Kolkata,4497000,0
Lagos,16000000,0
Lima,8852000,0
London,13900000,1
Los Angeles,13131000,1
Madras,7100000,0
Madrid,6489000,1
Manila,11856000,0
Melbourne,4529000,-1
Mexico City,8912000,1
Montreal,4127000,1
Mumbai,12442000,0
New York,20128000,1
Paris,12341000,1
Perth,1834000,-1
Rio De Janeiro,12090000,0
Rome,4321000,1
San Francisco,4656000,1
Santiago,7200000,-1
Sao Paulo,20935000,0
Seoul,25620000,1
Shanghai,34000000,1
Singapore,5535000,0
Sofia,1543000,1
Stockholm,2192000,1
Sydney,4293000,-1
Teheran,1523200,1
Tokyo,37800000,1
Warsaw,3105000,1
Washington,6033000,1
Wellington,402300,-1
Oslo,800000,1
Trondheim,185000,1
Stavanger,170000,1
Bergen,300000,1